doi,title,year,sample,method,finding,limitations
10.3389/fgene.2021.707836,Human and Machine Intelligence Together Drive Drug Repurposing in Rare Diseases,2021,Rare obesity-related conditions,Hybrid human+ML candidate ranking,Hybrid uplifts over pure ML; clinician triage matters,Case-study; no randomized validation
10.3389/fmed.2024.1404338,Artificial intelligence in drug repurposing for rare diseases: a mini-review,2024,Rare diseases (review),Literature review of AI repurposing,Evidence of transactional pipelines; scarce prospective validation,Review; reflects field not original data
10.1016/bs.pmbts.2024.03.030,Application of artificial intelligence and machine learning in drug repurposing,2024,Rare diseases (review),AI/ML repurposing typology,Comprehensive method catalog; bridges bench-to-ML,Review; no effect estimates
10.1021/acs.jcim.4c01966,AI-Driven Drug Discovery for Rare Diseases,2024,"Rare diseases (review)",ML tools/platforms inventory,Inventory of orphan-oriented ML tools,90%+ rare diseases lack therapies; tooling gap
10.3389/fphar.2023.1128562,Enrichment analysis of phenotypic data for drug repurposing in rare diseases,2023,Rare diseases,Human phenotype enrichment,Unstructured phenotyping enrich surfaces leads,No clinical confirm
"10.1101/2024.06.24.600340","A machine learning and drug repurposing approach to target ferroptosis in colorectal cancer stratified by sex and KRAS",2024,"CRC subtypes","stratified ML repurposing","Stratification (sex,KRAS) improves ferroptosis targeting","Preprint; not peer-reviewed"
10.1038/s41598-020-70026-w,Synergistic drug combinations and machine learning for drug repurposing in chordoma,2020,Chordoma,similarity ML+pipeline,Tested synergy combinations yielded in-vitro hits,n=1 disease; cell-based only
10.1089/omi.2022.0026,A New Approach to Drug Repurposing with Two-Stage Prediction Machine Learning and Unsupervised Clustering of Gene Expression,2022,Gene expression datasets,two-stage ML+clustering,Clustering by expression improves repurposing candidates,No external validation
9.9999/does.not.exist,A Fake Hallucinated Paper That Was Never Published,2025,N/A,N/A,THIS SHOULD BE FLAGGED AS NOT_FOUND,deliberate bad citation for testing
10.1111/ghost.FakeVol.001,Absolutely Nonexistent Reference for Regression Testing,2019,regression-test,regression-test,THIS SHOULD BE MISMATCH or NOT_FOUND,deliberate bad citation
